Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred,File_Name
S-2020-324598,18/08/2020 8:08,Term 3,Violence,Metropolitan South,Bondi,Accidental Assault,,Contact With Sharp Objects,A student has sustained an injury after being accidentally struck. First aid was administered. Parents were notified. Ambulance was contacted and student was conveyed to hospital via ambulance. Student has returned to school since the incident. Executive staff have been made aware.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-324845,18/08/2020 9:26,Term 3,Welfare,Regional South,Wollongong North,Attempted Suicide,,,A student has ingested a substance off school grounds in an attempt to take their own life. Student has become unwell on school grounds. Parents and paramedics were notified. Paramedics conveyed the student to hospital. #### will be followed. Support services are available.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-325428,18/08/2020 11:18,Term 3,Welfare,Metropolitan South,Bondi,Attempted Suicide,,,"A student attempted suicide on school grounds and has been conveyed to hospital by parents. No physical injuries sustained. Supports are being arranged for staff and students. #### has been followed. Executives are aware. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-325499,18/08/2020 11:32,Term 3,Emergency Situation,Metropolitan South & South West,Fairfield,Utility Failure,,,"Executive staff reports a suspected gas leak on school grounds. The Fire Department was called to the school and the school was evacuated as per the Emergency Plan. The Fire Department have deemed the school to be safe and school operations have since resumed. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-325563,18/08/2020 11:49,Term 3,Welfare,Regional North,Tuggerah Lakes,Self Harm,,,"A student disclosed thoughts and a plan to self harm.  Parents and ambulance contacted and attended, Ambulance contacted Police for assistance when student refused to go with Paramedics. The student was escorted to hospital for further medical treatment.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-325706,18/08/2020 12:21,Term 3,Violence,Metropolitan South,Marrickville,Allegations Of Sexual  Assault,,,"An executive employee reports concerns surrounding a student after being informed or an alleged incident that occurred off school grounds with a student from another school. Internal notifications have been made and the Director, Educational Leadership has been notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-326150,18/08/2020 13:52,Term 3,Weapon,Regional South,Lake Illawarra North,Possession of a Weapon,,Threat / Intimidation / Offens. Conduct,"Executive staff report an incident on school grounds where a heightened student has been physically aggressive  while in possession of a weapon. No injuries were sustained. Parents of the student were notified and they were collected. School is managing the mater. Supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-326447,18/08/2020 14:45,Term 3,Violence,Rural South and West,Temora,Assault,,,"Executive staff member reports that xxxxx students were involved in a physical altercation on school grounds. xxxxx students sustained injuries and first aid was applied. Parents were contacted and collected students. Incident was filmed but footage has been deleted. Supports are in place. Director, Educational Leadership will be informed.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-326948,18/08/2020 15:58,Term 3,Violence,Regional North and West,Upper Hunter,Assault,,,"An executive staff member has reported that xxxxx students were involved in a physical altercation that resulted in an injury to one of the students. The incident was filmed. First aid applied. Parents have been notified. Police were notified. Support is in place. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-327033,18/08/2020 16:13,Term 3,Violence,Metropolitan North,Carlingford,Assault,,Threat / Intimidation / Offens. Conduct,An employee reports that xxxxx students were involved in a physical altercation on school grounds. No injuries were sustained. A student also made a verbal threat involving a wxxxxxon to multiple students following the incident. xxxxx xxxxx are in place for the student. Carers and executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-327188,18/08/2020 16:52,Term 3,Violence,Metropolitan South,Marrickville,Assault,,,"Executive staff reports that a student in a heightened state assaulted another student. First aid was not required. An ambulance and police were called. Parents were notified. The student was conveyed to hospital via ambulance. Police attended school grounds. The school was put into lockdown for a xxxxx time, which has since ceased and the school resumed normal operations. The school are managing the matter and supports are in place. Mandatory reporting has been followed. Director, Educational Leadership is aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-327511,19/08/2020 9:25,Term 3,Violence,Metropolitan South & South West,Cowpasture,Assault,,,"An executive staff member reports a student was xxxxx assaulted by a group of students on school grounds. First aid administered. Parent collected student to seek medical treatment. The incident was filmed and possibly xxxxx to other students via a social media platform. The video has been deleted and Media Unit will be informed. The school is managing the matter. Director, Educational Leadership is aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-328404,19/08/2020 11:57,Term 3,Violence,Regional North,Lake Macquarie East,Allegations Of Sexual  Assault,,,"XXXX students have disclosed allegations of ####  assault by a XXXX student on school grounds. Executive staff have been notified who have contacted the Police. Internal notifications have been made and supports are being arranged. School will be guided by Police regarding contacting parents. The Director, Educational Leadership has been notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-328456,19/08/2020 12:05,Term 3,Welfare,Regional South,South Coast,Student Welfare Concerns,Absconding / Missing Student,Assault,"Executive staff member reported a student has absconded following a physical altercation with another student which occurred on school grounds. Police were contacted. Parents of both students were contacted. Parent confirmed the absconded student is at home. The school is managing the matter. Supports will be organised for students. Director, Educational Leadership will be made aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-328591,19/08/2020 12:32,Term 3,Welfare,Regional North and West,Coffs Harbour,Self Harm,,,"Executive staff member reported welfare concerns following a student self harming on school grounds. First aid was applied. Parents notified. An ambulance was called and the student was transported to hospital. Supports will be put in place for student.  Director, Educational Leadership will be advised.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-328600,19/08/2020 12:34,Term 3,Emergency Situation,Rural South and West,West Wyalong,Utility Failure,,,Executive staff reports a leak coming from water pipes in one of the school buildings.  External services were called (plumbing and electrical).  Plumber will attend site shortly.  Asset Management Unit was contacted.  Director Educational Leadership will be notified.  No one was injured.  No disruption in school main water supply.  School remains operational.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-328675,19/08/2020 12:50,Term 3,Violence,Rural North,Richmond,Assault,,,Executive staff report of a physical altercation between students which had impacted a staff member causing injury on school grounds. An ambulance was called for staff member who was conveyed to hospital for medical treatment. Students had sustained no injuries. Parents will be notified. Supports are in place for students and staff involved. School will manage the matter locally.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-328686,19/08/2020 12:52,Term 3,Violence,Rural South and West,Albury,Indecent Assault,,,A parent has reported to executive staff that a student has inappropriately touched another student under clothing while on school grounds. Internal notifications have been made. #####.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-329027,19/08/2020 13:46,Term 3,Emergency Situation,Rural South and West,Orange,Police Operation,,Communicable Disease,Executive staff member reports that XXXX students have come into close contact with a person who has returned from instate. The students are displaying flu like symptoms and parents have been contacted to collect them.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-329083,19/08/2020 13:55,Term 3,Malicious Use of Technology,Regional South,Camden,Nuisance Use of Technology,,,"The school reported that there is an online social media site which features videos of students from a number of schools engaged in physical altercations, while in school uniform, both on and off school grounds. The school is managing the matter locally and the eSafety Commissioner will be contacted. The School Liaison Police Officer is aware and will attend the school to address the students.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-329102,19/08/2020 14:00,Term 3,Violence,Rural North,Namoi,Assault,,,"Executive staff report that a student has sustained injuries as a result of being xxxxx assaulted by another student on school grounds. First aid was applied. Student was conveyed to hospital via ambulance. Carers were notified. School is managing the matter. Police are aware. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-329537,19/08/2020 15:07,Term 3,Violence,Rural North,Richmond,Assault,,,An employee sustained an injury following an assault by a student on school grounds. First aid was applied and the employee sought further medical treatment. Executive staff are aware and the school will be managing the incident locally.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-330460,20/08/2020 9:18,Term 3,Violence,Connected Communities,Connected Communities Team 1,Assault,,,Executive staff reports xxxxx students have been involved in a physical altercation on school grounds. A number of staff members intervened. No injuries sustained. Police contacted and attended. Parents were contacted. The school is managing the incident.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-330976,20/08/2020 10:53,Term 3,Welfare,Regional North and West,Lithgow,Student Behaviour,,,Staff member report a student had sustained an injury after they had become heighted on school grounds. First aid administered. An ambulance was called and conveyed student to hospital for medical treatment. Carers notified and accompanied student to hospital.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-331252,20/08/2020 11:36,Term 3,Violence,Regional North and West,Macleay Valley,Accidental Assault,,,"A student was accidentally assaulted by another student, while playing, on school grounds. The student sustained an injury as a result and first aid was applied. The student?s parent was contacted and collected the student from school, taking them to obtain further medical treatment.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-332153,20/08/2020 14:20,Term 3,Violence,Rural North,Grafton,Assault,,,"xxxxx executive staff members have been xxxxx assaulted on school grounds by xxxxx students. No first aid required. Police were contacted and attended. Staff were made aware of a previous incident and a xxxxx physical altercation xxxxx xxxxx occur off school grounds. Police have been updated. Supports are in place for the employees. The school is managing the matter. Director, Educational Leadership is aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-332178,20/08/2020 14:23,Term 3,Welfare,Regional South,Macarthur,Attempted Suicide,,,"A student attempted suicide on school grounds. Parents and ambulance were contacted, attended and conveyed the student to hospital for further medical assessment.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-332366,20/08/2020 14:57,Term 3,Violence,Regional South,Batemans Bay,Indecent Assault,,,"XXXX student have reported that XXXX student has touched them inappropriatly over clothing on seperate occasions on school grounds. Executive Staff were notified who contacted parents and Police. Supports are in place and internal notifications have been made. The Director, Eductaional Leadership has been notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-332951,20/08/2020 17:05,Term 3,Violence,Regional North and West,Great Lakes,Assault,,,"xxxxx students were engaged in a physical altercation on school grounds. Both students sustained multiple injuries required first aid. Executive staff were notified who contacted police and parents. Police are investigating. A parent became verbally aggressive towards employees. Student were conveyed xxxxx. Internal notifications have been made and the Director, Educational Leadership has been notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-333153,21/08/2020 8:45,Term 3,Violence,Regional North and West,Great Lakes,Assault,,,A student reportedly assaulted another student for unknown reasons while in the xxxxx and staff members intervened. The student that was xxxxx sustained an injury and first aid was applied. The school is in the process of contacting local police. Supports and strategies are in place to support the students and staff.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-333505,21/08/2020 10:06,Term 3,Violence,Metropolitan South & South West,Penrith,Assault,,,"Executive staff were notified of an incident that was filmed of a student assaulting another student on school grounds. Parents were notified. Police are aware. Supports are in place. School is managing the matter. Director, Educational Leadership is aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-333538,21/08/2020 10:14,Term 3,Welfare,Rural South and West,Mitchell,Student Behaviour,,Student Behaviour,"A student became escalated whilst in a heightened state and threw objects within the xxxxx. xxxxx staff members have sustained injuries. First aid not required. Parent was contacted. Police were notified and attended school to calm student. Other staff members have been impacted due to the incident. School is managing the matter. Supports are in place for all staff involved. Director, Educational Leadership is aware. vff",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-334271,21/08/2020 12:51,Term 3,Welfare,Metropolitan South,Marrickville,Attempted Suicide,,,"Executive staff member reports a student attempted suicide off school grounds and was conveyed to hospital by parents. No physical injuries sustained. Supports are being arranged. #### has been followed. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-334278,21/08/2020 12:54,Term 3,Violence,Rural North,Grafton,Assault,,,A student assaulted another student while xxxxx xxxxx on school grounds. One student sustained an injury as a result. First aid was applied and an ambulance was called. The student was conveyed to hospital by ambulance for treatment. The matter is being managed locally.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-334618,21/08/2020 14:19,Term 3,Welfare,Metropolitan South,Chullora,Student Behaviour,,,"An executive staff member has reported that a student has sustained an injury due to another student's behaviour on school grounds. First aid applied. Parents and emergency services were notified and attended the school. Student was transported to hospital via ambulance in a xxxxx xxxxx. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-335055,21/08/2020 15:39,Term 3,Welfare,Rural North,Namoi,Attempted Suicide,,,"A student attempted suicide on school grounds. No physical injuries sustained. Supports are being arranged for students. #### has been followed. Executives are aware. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-335060,21/08/2020 15:41,Term 3,Violence,Metropolitan South & South West,Bungarribee,Assault,,Threat / Intimidation / Offens. Conduct,A student assaulted another student and proceeded to intimidate staff on school grounds. Police were called and are xxxxx onsite. First aid was applied to the injured student. The injured student is being taken to seek medical treatment by their parent. The matter is being managed locally. Support is available and xxxxx details provided.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-335247,21/08/2020 16:19,Term 3,Welfare,Metropolitan South,Botany Bay,Student Behaviour,,Student Welfare Concerns,"Executive staff member reports behaviour concerns for students following an incident on school grounds. No injuries were sustained. School was xxxxx placed into lockdown but resumed normal operations shortly after. Police and parents/carers were contacted. One student has absconded from school grounds. Supports will be put in place. Director, Educational Leadership is aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-335266,21/08/2020 16:24,Term 3,Violence,Metropolitan South & South West,Glenfield,Allegations Of Sexual  Assault,,,A student has disclosed allegations of ####  assault by a community member off school grounds. Police have been notified and are investigating and liaising with school staff. #### has been followed. Supports will be arranged. Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-335428,24/08/2020 8:04,Term 3,Welfare,Metropolitan South & South West,Port Hacking,Attempted Suicide,,,"Executive staff member reports a student has attempted suicide on school grounds. No physical injuries were sustained. Parents were notified and collected the student. Supports are in place. #### has been followed. Director, Educational Leadership will be made aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-336115,24/08/2020 10:56,Term 3,Welfare,Metropolitan South & South West,Port Hacking,Student Welfare Concerns,Absconding / Missing Student,Threat / Intimidation / Offens. Conduct,"A student has been collected from school by a family member without following the correct procedures. Parent  has also verbally abused a staff member over the phone and a family member has sent an intimidating correspondence to the school. Police will be notified. School will continue to manage the incident. Director, Educational Leadership was  informed.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-336300,24/08/2020 11:30,Term 3,Welfare,Regional South,Goulburn,Student Behaviour,,,Executive staff reports a student escalated into a heightened state and damaged school property on school grounds. No injuries reported. Family members were called to the school. Police and an ambulance were also called to assist and the student was conveyed to hospital in the ambulance. The student is xxxxx in the care of family. Supports are being put in place.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-336677,24/08/2020 12:40,Term 3,Violence,Regional North and West,Macquarie,Assault,,,Executive staff report of a physical altercation between students on school grounds. Parents notified of the incident. School is managing the matter locally.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-336733,24/08/2020 12:51,Term 3,Malicious Use of Technology,Regional North,Lake Macquarie North,Nuisance Use of Technology,,,The school reported XXXX social media pages which contain footage of physical altercations between students in school uniform. The matter is being managed locally and the school is seeking to have the content removed.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-336800,24/08/2020 13:01,Term 3,Substances,Regional North and West,Coffs Harbour,Usage and Consumption of Substances,,,"Executive staff reports a student has provided XXXX other students illicit substances in an XXXX form which they consumed unknowingly. Parents have been notified. Ambulance and police will be contacted. Supports will be arranged for the students. #### has been followed and Director, Educational Leadership is aware. ",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-336895,24/08/2020 13:22,Term 3,Violence,Metropolitan South & South West,Liverpool,Assault,,,An employee has sustained an injury due to intervening in a physical altercation  between students on school grounds. First aid was administered. Medical attention was sought. Executives informed. Incident may have been recorded and was witnessed by several students.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-336928,24/08/2020 13:31,Term 3,Weapon,Regional South,Macarthur,Possession of a Weapon,,,Executive staff reports a student has been found in possession of a weapon on school grounds. Nil injuries sustained. Parents will be notified. Police have been called and collected the weapon. The school will continue to manage.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-337456,24/08/2020 14:55,Term 3,Weapon,Regional North and West,Mid Coast Valleys,Possession of a Weapon,,,"An executive staff member reports a student was in possession of part of a weapon on school grounds. The item was collected and secured. No threats were made. parents were made aware and collected the student from school grounds. the Director,  Educational Leadership will be made aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-337524,24/08/2020 15:04,Term 3,Welfare,Regional North,Lake Macquarie East,Student Behaviour,,,An executive staff member reports a student in a heightened state escalated towards staff members and then absconded from school grounds. No physical injuries sustained. Emergency services were notified. Parents were contacted and the student was conveyed to hospital by an ambulance. Supports are in place and the school is continuing to manage the matter.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-337572,24/08/2020 15:11,Term 3,Violence,Rural South and West,Far West,Assault,,,"The school reported that a group of students xxxxx assaulted another group of students on school grounds, causing injuries. Staff intervened to stop the altercation. Police were called and attended the school. The incident was filmed by students. The matter is being managed locally. Support is in place.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-337677,24/08/2020 15:28,Term 3,Violence,Metropolitan South & South West,Eastern Creek,Assault,,,Executive employee reports that xxxxx students were involved in a physical altercation and staff members intervened. A student sustained an injury and first aid was applied. Parents are being contacted. Supports are being arranged. The incident was filmed and shared via social media. Media Unit will be notified. School is continuing to manage.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-337925,24/08/2020 16:10,Term 3,Welfare,Regional South,Campbelltown,Student Welfare Concerns,Absconding / Missing Student,Allegations Of ####  Assault,Executive staff report a student absconded from school grounds and staff monitored the student. Parent was notified and the student was collected. Student also disclosed of being #### assaulted. Police have been notified and are investigating. #### will be followed. Supports are in place.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-337939,24/08/2020 16:12,Term 3,Violence,Rural South and West,Orange,Indecent Assault,,,An employee expresses wellbeing concerns after being indecently assaulted by a student on school grounds. Another student was also assaulted by the same student. No first aid required at time of reporting. Parents have been notified and the school is managing the matter. Executive staff are aware and supports are being put in place.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-338053,24/08/2020 16:42,Term 3,Welfare,Regional South,South Coast,Self Harm,,,"An executive staff memeber reports a student attempted self-harm on school grounds. First aid administered. An ambulance and parents have been contacted, the student was conveyed to hospital accompanied by an executive staff memeber. Supports in place. #### Guidelines will be followed.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-338059,24/08/2020 16:45,Term 3,Welfare,Regional North,Brisbane Water,Student Behaviour,,Fire-Lighting,"Executive staff reports that a student in a heightened state was verbally abusing staff and attempted to xxxxx on school grounds. No injuries or damage to school property reported. Police and an ambulance were called and the student was conveyed to hospital, xxxxx xxxxx xxxxx xxxxx. Parents have been notified. Mandatory reporting will be followed and supports are being put in place.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-338225,25/08/2020 8:50,Term 3,Violence,Rural South and West,Narrandera,Allegations Of Sexual  Assault,,,Executive staff reports that a student disclosed an allegation of ####  assault by another student upon school grounds.  #### have been made. Parents will are aware. The school will continue to manage and support will be put in place. Director Educational Leadership will be notified.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-338251,25/08/2020 9:10,Term 3,Weapon,Metropolitan South,Auburn,Possession of a Weapon,,Possession of a Weapon,Student had a concealed weapon on school grounds and threatened harm to self and one other. Ambulance took student to hospital for assessment. Supports in place.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-338262,25/08/2020 9:11,Term 3,Welfare,Regional North,Central Coast,Self Harm,,,A student disclosed thoughts of self harm.  Triple Zero was contacted and Police attended for a welfare check.  The student has been hospitalised and the school will continue to liaise with external agencies and parents to support the student.  Director will be notified.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-338692,25/08/2020 12:50,Term 3,Violence,Regional North,Lake Macquarie East,Allegations Of Sexual  Assault,,,Executive staff report of student welfare concerns regarding incidents that have occurred off school grounds. #### has been done. Supports are in place for student involved.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-338784,25/08/2020 13:40,Term 3,Emergency Situation,Rural South and West,Orange,Utility Failure,,,"Executive staff member reports utility failure to the school. Contractors are on school grounds attempting to rectify the issue. The school is currently operational. Director, Educational Leadership is aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-338863,25/08/2020 14:11,Term 3,Violence,Regional North,Tuggerah Lakes,Assault,,Suicidal Intentions,A student has thrown objects at staff and assaulted staff on school grounds. Student has also expressed suicidal thoughts. Paramedics were contacted. Student was conveyed to hospital via ambulance. Parent is aware. Mandatory reporting will be followed. Support services are available.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-338964,25/08/2020 14:53,Term 3,Violence,Regional North and West,Maitland,Indecent Assault,,,An employee reported XXXX was indecently assaulted by another employee at a staff function off school grounds. The matter was reported to the executive staff. The employee is engaging in support and the appropriate reports have been made.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-339147,25/08/2020 15:57,Term 3,Violence,Regional North and West,Macquarie,Indecent Assault,,,A student touched an employee inappropriately.  Carer notified and the student will be dealt with under their behaviour management plan.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-339237,25/08/2020 16:46,Term 3,Violence,Rural South and West,Far West,Assault,,,"Executive staff member reports multiple students were involved in a physical altercation that occurred on school grounds. The school was placed into a lockdown. Police have been notified. Parents have been contacted and collected students. A staff member intervened and sustained an injury. Medical treatment has been sought. The incident was filmed and Media Unit are aware. School is managing the matter. Director, Educational Leadership is aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-339285,26/08/2020 8:02,Term 3,Violence,Regional North,Lake Macquarie East,Assault,,,A staff member sustained an injury after being impacted by a student in a heightened mood. First aid was not required. Police and an ambulance were called. Parents notified and attended. Student was conveyed for medical treatment. Supports are in place for student and staff involved.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-339770,26/08/2020 12:09,Term 3,Welfare,Rural South and West,Albury,Self Harm,,Epilepsy / Seizures,"Executive staff member reports that a student self harmed on school grounds. Injuries were sustained and first aid was applied. Student suffered from a medical episode, and the ambulance and carer were contacted. Paramedics transported the student to hospital for further treatment. #### will be followed and supports will be put in place. Director, Educational Leadership will be informed.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-339800,26/08/2020 12:15,Term 3,Welfare,Regional North,Mooney Mooney,Student Welfare Concerns,Absconding / Missing Student,,Executive staff member reports that a student was found in possession of a substance and absconded from school grounds. Police were called. Parent was notified. School is continuing to manage. Supports are in place for the student.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-339848,26/08/2020 12:29,Term 3,Welfare,Regional North and West,Upper Hunter,Attempted Suicide,,,"A student attempted suicide on school grounds. First aid was applied. Parents and ambulance were called. Paramedics assessed the student and conveyed them to the hospital for further medical assessment. Support is in place for the student. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-339992,26/08/2020 13:35,Term 3,Violence,Regional South,South Coast,Accidental Assault,,,A student sustained an injury after being accidentally struck with XXXX on school grounds. An ambulance and the students parents were contacted. The paramedics transported the student to hospital in a stable condition following an assessment of the injury. Parents met the student at hospital. Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-340103,26/08/2020 14:27,Term 3,Welfare,Regional North,Brisbane Water,Attempted Suicide,,,"An executive staff member has expressed welfare concerns for a student after the student attempted to suicide on school grounds. No injuries sustained. Parents were informed and collected student to seek further medical treatment. Supports are in place for the student and for the staff that witnessed the incident. #### has been followed. Director, Educational Leadership is aware.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-340104,26/08/2020 14:27,Term 3,Welfare,Metropolitan South & South West,Penrith,Student Welfare Concerns,Absconding / Missing Student,Self Harm,"Executive staff report a student has self harmed before absconding from school grounds. School is managing the matter. Police and the students carer have been notified. #### has been followed. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-340475,26/08/2020 16:55,Term 3,Violence,Metropolitan North,Mount Druitt,Assault,,Threat / Intimidation / Offens. Conduct,"Executive staff member reports a student was threatening and assaulted xxxxx students on school grounds causing injuries. First aid applied. Parents contacted. Police were called and attended. Supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-340534,27/08/2020 8:31,Term 3,Emergency Situation,Regional North,Central Coast,Police Operation,,,"A Police operation involving a student has taken place on school grounds. Student was escorted offsite by Police. Executive staff are aware along with carers. Internal notifications have been made and the Director, Educational Leadership has been notified.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-340692,27/08/2020 10:14,Term 3,Violence,Regional North,Central Coast,Assault,,Threat / Intimidation / Offens. Conduct,A student has threatened staff and students. Student has made contact with a staff member whilst xxxxx at them. Student has also xxxxx over xxxxx xxxxx. Student was collected by parent. Carer concerns are also reported. Executives are aware. School is managing the incident. Mandatory reporting will be followed.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-340978,27/08/2020 13:15,Term 3,Violence,Rural South and West,Orange,Accidental Assault,,,An student sustained an injury after being accidentally struck by a student. First aid was applied and an ambulance was contacted. The student was transported to hospital in a stable condition following an assessment of the injury by paramedics. Parents were contacted and Executive staff are aware.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-341114,27/08/2020 14:17,Term 3,Violence,Regional South,Lake Illawarra North,Assault,,,"Executive staff member reports that a student sustained injuries after being assaulted by another student on school grounds. First aid was applied and an ambulance was contacted. Paramedics transported the student to hospital for further treatment. Parents are aware and supports will be put in place. Director, Educational Leadership will be informed.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-341117,27/08/2020 14:18,Term 3,Welfare,Rural South and West,Wagga Wagga,Student Behaviour,,,A student has engaged in unsafe behaviour on school grounds. No injuries.  Staff intervened.  School has managed the incident.  School have had attempts to contact parents. Executive is aware.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-341282,27/08/2020 15:06,Term 3,Violence,Metropolitan South,Iron Cove,Assault,,,A student has assaulted an employee and several students on school grounds. The student was also threatening towards staff and students. Parent informed who collected the student. Executives informed. The school is managing the incident.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-341769,28/08/2020 9:19,Term 3,Violence,Metropolitan South,Girraween,Indecent Assault,,,A student objected to return to class and became heightened. The student proceeded to inappropriately touch a staff member. Another staff member intervened and took the student to another class to calm. The school is managing at a local level.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-341920,28/08/2020 10:38,Term 3,Criminal Activity,Metropolitan North,The Hills,Bomb Threat,,,"Executive staff reports school has received a bomb threat via telephone with a recorded voice message. School has been evacuated in accordance with their emergency management plan. Police have been contacted and are on site and investigating. Director, Educational Leadership will be advised.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-341972,28/08/2020 10:54,Term 3,Welfare,Regional North and West,Bathurst,Student Welfare Concerns,Absconding / Missing Student,,A student presented with an injury and alleges contact with an object. First aid was administered. and a parent was contacted to collect the student. The student then absconded from school and whereabouts are unknown.,1,On workplace grounds,2020-biannual-incident-report-n2.csv
S-2020-341999,28/08/2020 11:15,Term 3,Welfare,Rural South and West,Mitchell,Student Behaviour,,Suicidal Intentions,"A student engaged in xxxxx behaviour and disclosed suicidal ideation on school grounds. Police, ambulance and the student's parent were called and attended. The student was conveyed to hospital by ambulance for treatment. The matter is also being managed locally. Support is in place and xxxxx details provided.",1,On workplace grounds,2020-biannual-incident-report-n2.csv
